algorithm,dataset,split,total_data,MAE,MSE,RMSE,R2,rank_rmse
SVR,no2_meteorologi,70_30,94460,2.221318828971943,21.087198231388758,4.592079946101631,0.9725981477021233,1
SVR,no2,70_30,94460,2.2667216183921566,23.301762387435488,4.827189905880593,0.9697204225893657,2
XGBoost,no2,70_30,94460,2.788357732317288,24.5439163526899,4.954181703640865,0.9681063001671438,3
XGBoost,no2_meteorologi,70_30,94460,2.9035376066874825,24.92511284309762,4.9925056678082615,0.9676109527145328,4
SVR,no2_meteorologi,80_20,62970,2.001022311744252,17.15749502372174,4.142160670920641,0.9734084145192021,1
SVR,no2,80_20,62970,2.0581700151879008,19.036116493429425,4.363039822581204,0.9704968284555765,2
XGBoost,no2_meteorologi,80_20,62970,2.6245093347612922,19.454826914246723,4.410762622749803,0.9698478890893422,3
XGBoost,no2,80_20,62970,2.539228656470065,19.977492078031116,4.4696187844189925,0.9690378352113493,4
